App;Title;Begin;End;Activity;Case
Microsoft Outlook;NO_TITLE;6-3-2023 08:47;6-3-2023 08:47;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;BPM&A - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:47;6-3-2023 08:47;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:47;6-3-2023 08:47;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;See your Google Calendar in Outlook - Microsoft Support and 3 more pages - Work - Microsoft​ Edge;6-3-2023 08:47;6-3-2023 08:47;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:47;6-3-2023 08:47;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Utrecht University - Sign in - Work - Microsoft​ Edge;6-3-2023 08:47;6-3-2023 08:47;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google - Work - Microsoft​ Edge;6-3-2023 08:47;6-3-2023 08:48;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Work - Microsoft​ Edge;6-3-2023 08:48;6-3-2023 08:48;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Planning start op maandag, 6 maart 2023 - Work - Microsoft​ Edge;6-3-2023 08:48;6-3-2023 08:48;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:48;6-3-2023 08:48;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Postvak IN - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:48;6-3-2023 08:51;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;NO_TITLE;6-3-2023 08:51;6-3-2023 08:51;Organizing practical aspects for the group;BPM&A group
NATIVE;NO_TITLE;6-3-2023 08:51;6-3-2023 08:51;Organizing practical aspects for the group;BPM&A group
Google Chrome;about:blank - Google Chrome;6-3-2023 08:51;6-3-2023 08:51;Organizing practical aspects for the group;BPM&A group
Google Chrome;***name35*** - Google Zoeken - Google Chrome;6-3-2023 08:51;6-3-2023 08:52;Organizing practical aspects for the group;BPM&A group
Google Chrome;VU Amsterdam visit to Innsbruck: Talks about an Aurora Joint Master Program – Universität Innsbruck - Google Chrome;6-3-2023 08:52;6-3-2023 08:52;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Postvak IN - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:52;6-3-2023 08:52;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Planning start op maandag, 6 maart 2023 - Work - Microsoft​ Edge;6-3-2023 08:52;6-3-2023 08:53;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Re: Master thesis ***name56*** - MBI Student - Message (HTML) ;6-3-2023 08:54;6-3-2023 08:54;Discussing possible assignments with students;***name56***
Microsoft Outlook;Postvak IN - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:54;6-3-2023 08:54;Discussing possible assignments with students;***name56***
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:54;6-3-2023 08:55;Discussing possible assignments with students;***name56***
Search application;Search;6-3-2023 08:55;6-3-2023 08:55;Discussing possible assignments with students;***name56***
Windows Explorer;NO_TITLE;6-3-2023 08:55;6-3-2023 08:55;Discussing possible assignments with students;***name56***
Microsoft Teams;Loading Microsoft Teams;6-3-2023 08:55;6-3-2023 08:55;Discussing possible assignments with students;***name56***
Microsoft Teams;Microsoft Teams;6-3-2023 08:55;6-3-2023 08:55;Discussing possible assignments with students;***name56***
Microsoft Teams;Calendar | Microsoft Teams;6-3-2023 08:55;6-3-2023 08:55;Discussing possible assignments with students;***name56***
Microsoft Teams;New meeting | Microsoft Teams;6-3-2023 08:55;6-3-2023 08:56;Discussing possible assignments with students;***name56***
Microsoft Teams;Calendar | Microsoft Teams;6-3-2023 08:56;6-3-2023 08:56;Discussing possible assignments with students;***name56***
Microsoft Outlook;Re: Master thesis ***name56*** - MBI Student - Message (HTML) ;6-3-2023 08:56;6-3-2023 08:56;Discussing possible assignments with students;***name56***
Microsoft Teams;Calendar | Microsoft Teams;6-3-2023 08:56;6-3-2023 08:56;Discussing possible assignments with students;***name56***
Search application;Search;6-3-2023 08:58;6-3-2023 08:58;Conducting research;Active Window Tracking
Tockler;Tockler;6-3-2023 08:58;6-3-2023 08:59;Conducting research;Active Window Tracking
Microsoft Edge;Google Agenda - Planning start op maandag, 6 maart 2023 - Work - Microsoft​ Edge;6-3-2023 08:59;6-3-2023 08:59;Conducting research;Active Window Tracking
Search application;Search;6-3-2023 08:59;6-3-2023 08:59;Conducting research;Active Window Tracking
Windows Explorer;NO_TITLE;6-3-2023 08:59;6-3-2023 08:59;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;NO_TITLE;6-3-2023 08:59;6-3-2023 08:59;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Start;6-3-2023 08:59;6-3-2023 09:00;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Get Data;6-3-2023 09:00;6-3-2023 09:00;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Open;6-3-2023 09:00;6-3-2023 09:00;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power BI Desktop;6-3-2023 09:00;6-3-2023 09:00;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Get Data;6-3-2023 09:00;6-3-2023 09:00;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Open;6-3-2023 09:00;6-3-2023 09:00;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;NO_TITLE;6-3-2023 09:00;6-3-2023 09:00;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;tockler-export_2023-02-01_2023-02-28-february.csv;6-3-2023 09:00;6-3-2023 09:00;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power BI Desktop;6-3-2023 09:00;6-3-2023 09:00;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;NO_TITLE;6-3-2023 09:00;6-3-2023 09:00;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power BI Desktop;6-3-2023 09:00;6-3-2023 09:01;Conducting research;Active Window Tracking
Google Chrome;about:blank - Google Chrome;6-3-2023 09:01;6-3-2023 09:01;Conducting research;Active Window Tracking
Google Chrome;power query delete non-unique values - Google Zoeken - Google Chrome;6-3-2023 09:01;6-3-2023 09:01;Conducting research;Active Window Tracking
Google Chrome;Keep or remove duplicate rows (Power Query) - Microsoft Support - Google Chrome;6-3-2023 09:01;6-3-2023 09:01;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power BI Desktop;6-3-2023 09:01;6-3-2023 09:01;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power Query Editor;6-3-2023 09:01;6-3-2023 09:02;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Invoke Custom Function;6-3-2023 09:02;6-3-2023 09:02;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power Query Editor;6-3-2023 09:02;6-3-2023 09:02;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Custom Column;6-3-2023 09:02;6-3-2023 09:02;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power Query Editor;6-3-2023 09:02;6-3-2023 09:03;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Custom Column;6-3-2023 09:03;6-3-2023 09:03;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power Query Editor;6-3-2023 09:03;6-3-2023 09:04;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Custom Column;6-3-2023 09:08;6-3-2023 09:08;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power Query Editor;6-3-2023 09:08;6-3-2023 09:08;Conducting research;Active Window Tracking
Google Chrome;Keep or remove duplicate rows (Power Query) - Microsoft Support - Google Chrome;6-3-2023 09:08;6-3-2023 09:09;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power Query Editor;6-3-2023 09:09;6-3-2023 09:09;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;NO_TITLE;6-3-2023 09:09;6-3-2023 09:09;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power Query Editor;6-3-2023 09:09;6-3-2023 09:10;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;NO_TITLE;6-3-2023 09:10;6-3-2023 09:10;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power Query Editor;6-3-2023 09:10;6-3-2023 09:10;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;NO_TITLE;6-3-2023 09:10;6-3-2023 09:10;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power BI Desktop;6-3-2023 09:10;6-3-2023 09:11;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power BI Desktop;6-3-2023 09:11;6-3-2023 09:12;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power Query Editor;6-3-2023 09:12;6-3-2023 09:13;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;NO_TITLE;6-3-2023 09:13;6-3-2023 09:13;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Custom Column;6-3-2023 09:13;6-3-2023 09:13;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power Query Editor;6-3-2023 09:13;6-3-2023 09:13;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;NO_TITLE;6-3-2023 09:13;6-3-2023 09:13;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power Query Editor;6-3-2023 09:13;6-3-2023 09:14;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power BI Desktop;6-3-2023 09:14;6-3-2023 09:14;Conducting research;Active Window Tracking
Google Chrome;New Tab - Google Chrome;6-3-2023 09:14;6-3-2023 09:14;Conducting research;Active Window Tracking
Google Chrome;power bi export dataa - Google Zoeken - Google Chrome;6-3-2023 09:14;6-3-2023 09:14;Conducting research;Active Window Tracking
Google Chrome;power bi export data - Google Zoeken - Google Chrome;6-3-2023 09:14;6-3-2023 09:14;Conducting research;Active Window Tracking
Google Chrome;How to Export Power BI Data to Excel (Step-by-Step) - Google Chrome;6-3-2023 09:14;6-3-2023 09:16;Conducting research;Active Window Tracking
Microsoft Power BI Desktop;Untitled - Power BI Desktop;6-3-2023 09:16;6-3-2023 09:16;Conducting research;Active Window Tracking
Search application;Search;6-3-2023 09:16;6-3-2023 09:16;Conducting research;Active Window Tracking
Microsoft Excel;Opening - Excel;6-3-2023 09:16;6-3-2023 09:16;Conducting research;Active Window Tracking
Microsoft Excel;Book1 - Excel;6-3-2023 09:16;6-3-2023 09:16;Conducting research;Active Window Tracking
Microsoft Outlook;Postvak IN - i.m.beerepoot@uu.nl - Outlook;6-3-2023 09:16;6-3-2023 09:17;Conducting research;Active Window Tracking
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 09:17;6-3-2023 09:17;Conducting research;Active Window Tracking
Microsoft Excel;Book1 - Excel;6-3-2023 09:17;6-3-2023 09:20;Conducting research;Active Window Tracking
Microsoft Excel;Book1 - Excel;6-3-2023 09:32;6-3-2023 09:35;Conducting research;Active Window Tracking
Microsoft Outlook;Postvak IN - i.m.beerepoot@uu.nl - Outlook;6-3-2023 09:35;6-3-2023 09:35;Conducting research;Active Window Tracking
Microsoft Excel;Book1 - Excel;6-3-2023 09:35;6-3-2023 09:39;Conducting research;Active Window Tracking
Microsoft Excel;NO_TITLE;6-3-2023 09:39;6-3-2023 09:39;Conducting research;Active Window Tracking
Microsoft Excel;Book1 - Excel;6-3-2023 09:39;6-3-2023 09:39;Conducting research;Active Window Tracking
Windows Explorer;NO_TITLE;6-3-2023 09:39;6-3-2023 09:40;Conducting research;Active Window Tracking
Microsoft Teams;Calendar | Microsoft Teams;6-3-2023 09:40;6-3-2023 09:40;Conducting research;Active Window Tracking
Microsoft Teams;General (ICS Staff) | Microsoft Teams;6-3-2023 09:40;6-3-2023 09:40;Conducting research;Active Window Tracking
Microsoft Teams;Microsoft Teams;6-3-2023 09:40;6-3-2023 09:40;Conducting research;Active Window Tracking
Microsoft Excel;Save As;6-3-2023 09:40;6-3-2023 09:40;Conducting research;Active Window Tracking
Microsoft Excel;Example categorisation - Excel;6-3-2023 09:40;6-3-2023 09:45;Conducting research;Active Window Tracking
Google Chrome;about:blank - Google Chrome;6-3-2023 09:45;6-3-2023 09:45;Conducting research;Active Window Tracking
Google Chrome;Google Translate - Google Chrome;6-3-2023 09:45;6-3-2023 09:45;Conducting research;Active Window Tracking
Microsoft Excel;Example categorisation - Excel;6-3-2023 09:45;6-3-2023 09:45;Conducting research;Active Window Tracking
Google Chrome;Google Translate - Google Chrome;6-3-2023 09:45;6-3-2023 09:45;Conducting research;Active Window Tracking
Microsoft Excel;Example categorisation - Excel;6-3-2023 09:45;6-3-2023 09:54;Conducting research;Active Window Tracking
Microsoft Outlook;FW: Uitnodiging: 6 april Grand Opening Innovatielab Tekstberichten - Message (HTML) ;6-3-2023 09:54;6-3-2023 09:54;Participating in group meetings;AI Lab for Public Services
Windows Explorer;NO_TITLE;6-3-2023 09:54;6-3-2023 09:54;Participating in group meetings;AI Lab for Public Services
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 09:54;6-3-2023 09:54;Participating in group meetings;AI Lab for Public Services
